age,tenure,monthly_charges,num_products,support_calls,churn
69,24,61.67,1,6,1
62,35,52.15,2,7,0
19,38,94.88,2,4,0
30,55,100.14,4,8,1
60,49,69.13,4,3,0
21,61,109.3,2,5,1
62,27,,2,1,0
32,36,107.91,3,6,1
65,31,29.61,4,2,0
33,65,35.35,4,6,0
40,22,73.38,1,8,1
52,42,26.75,1,8,0
24,9,25.28,3,9,1
46,61,20.05,2,1,0
44,28,63.63,1,1,0
58,25,97.46,1,9,1
69,42,23.48,2,3,0
52,36,85.23,2,0,0
39,61,102.31,3,2,1
39,38,36.8,1,8,1
39,37,34.69,3,3,0
60,8,106.08,3,0,0
34,2,102.31,2,7,1
26,29,73.89,1,1,0
35,71,101.92,3,3,0
19,66,29.28,3,0,0
23,45,59.45,2,6,1
22,45,93.78,2,4,1
58,28,45.75,3,8,1
55,13,95.23,2,3,1
54,1,70.42,2,2,1
42,25,95.03,2,1,1
55,23,66.47,2,2,0
26,14,56.79,3,4,1
64,19,,2,0,0
44,2,40.84,2,4,1
66,44,95.15,3,8,1
25,66,31.89,2,7,0
43,50,28.6,1,6,0
54,32,37.63,4,8,1
43,30,37.53,1,7,1
41,22,102.31,3,6,1
26,11,59.85,2,8,1
37,43,119.04,1,1,0
30,41,33.72,1,8,0
33,1,85.35,4,2,1
53,30,64.87,2,7,1
50,20,,2,9,1
49,13,107.51,3,4,1
36,50,117.56,1,0,1
67,38,107.29,3,3,1
22,45,39.23,2,4,0
35,51,42.08,3,9,0
24,70,85.61,1,9,1
35,57,48.91,4,5,0
68,45,93.47,1,9,1
37,63,76.64,3,4,0
65,34,75.09,3,4,1
43,70,102.85,2,8,1
54,55,91.05,1,6,1
41,47,22.66,2,5,0
31,65,24.95,4,4,0
57,37,,4,7,1
68,52,68.62,4,7,0
31,21,46.02,1,4,0
58,69,61.87,3,0,0
31,45,95.79,1,1,0
55,56,102.66,3,1,0
59,33,76.12,2,4,1
41,62,58.54,3,6,0
56,6,47.07,3,8,1
32,9,72.19,4,2,0
22,37,51.47,2,7,1
23,53,,2,6,0
41,58,87.67,3,0,0
64,32,26.61,1,3,0
24,47,20.11,1,3,0
41,40,41.23,3,8,0
54,69,109.45,4,9,1
28,47,84.63,3,8,1
55,30,37.2,4,5,0
33,69,109.03,1,4,1
60,8,67.0,2,3,1
48,70,67.61,3,7,0
46,11,113.55,2,0,1
27,21,25.95,1,2,0
42,59,41.52,1,1,0
62,53,78.58,4,4,0
19,69,39.55,3,2,0
57,54,87.95,2,1,0
43,46,41.41,2,3,0
55,25,29.92,1,8,0
52,1,40.7,4,5,1
40,9,62.27,1,8,1
34,22,37.61,4,9,1
50,3,33.47,1,9,1
25,37,106.03,2,3,1
48,56,52.04,2,8,1
22,69,56.08,4,9,1
51,35,25.53,1,9,1
50,63,55.74,2,3,0
22,70,46.48,2,2,0
57,62,81.05,2,5,1
39,34,40.54,1,9,0
58,24,108.84,4,9,1
20,70,112.97,2,5,1
27,18,29.98,2,1,0
43,30,30.74,2,4,0
27,6,31.53,4,7,1
35,57,81.96,2,5,1
52,47,32.2,2,3,0
25,7,105.24,2,3,1
53,16,95.43,2,0,0
23,40,101.98,1,2,0
27,39,72.61,3,6,1
48,57,119.67,1,2,0
59,19,24.42,1,9,1
26,66,60.13,1,0,0
33,32,52.39,2,5,0
66,59,114.86,4,4,1
69,17,77.69,3,8,1
48,3,100.62,4,8,1
41,4,37.03,2,5,1
36,27,117.86,4,6,1
49,68,69.86,1,6,1
48,4,69.37,3,5,1
33,27,117.09,4,1,1
19,8,58.07,3,4,1
25,67,59.75,4,2,0
67,48,78.48,2,4,1
39,55,32.81,1,6,0
43,51,52.11,4,2,0
42,47,39.32,1,2,0
58,55,30.33,4,8,1
21,1,106.61,3,3,1
22,62,78.93,4,1,0
32,53,55.87,2,7,0
43,53,60.87,4,7,0
52,28,63.15,1,8,1
43,57,83.31,2,7,0
40,28,112.68,1,9,1
66,4,113.28,4,5,1
26,65,59.15,3,2,0
47,17,52.93,4,8,1
46,8,65.1,4,2,1
42,45,76.79,2,2,0
59,17,66.18,1,8,1
31,61,85.88,4,8,0
67,32,75.44,2,3,0
35,1,52.07,1,7,1
46,68,54.57,4,9,1
45,37,57.86,4,7,1
62,19,29.46,2,0,0
40,49,36.61,4,6,0
32,38,92.31,1,1,0
19,3,,1,8,1
36,54,41.45,2,0,0
60,29,76.27,3,9,1
18,50,95.55,1,1,1
64,64,45.74,1,4,0
46,44,102.68,3,2,0
25,48,112.75,4,8,1
33,19,79.74,3,3,1
46,17,,4,7,1
34,30,25.26,4,0,0
23,61,114.55,3,4,1
52,38,59.25,3,9,1
52,25,112.39,4,9,1
24,56,77.9,2,2,0
32,61,20.46,1,3,0
30,65,23.85,4,4,0
52,22,88.04,2,5,1
55,51,76.27,4,5,1
55,42,22.65,2,1,0
66,32,94.35,4,7,1
57,29,105.21,1,2,1
34,9,,3,3,1
23,20,66.58,2,8,1
49,40,20.55,2,6,0
65,63,98.66,2,3,0
68,62,53.07,4,9,0
29,14,107.88,2,3,1
30,49,57.31,4,5,0
19,7,76.51,2,2,1
25,48,47.03,1,1,0
46,25,36.06,4,4,1
46,32,97.49,1,5,1
37,51,69.66,2,8,1
34,31,,4,3,0
61,58,116.54,4,8,1
41,38,116.36,4,6,1
60,71,105.56,2,0,0
68,46,38.76,4,7,0
34,22,79.43,2,5,0
28,56,107.81,3,3,1
67,29,57.45,3,4,1
51,38,30.11,1,3,0
33,10,101.1,2,6,1
50,9,68.18,2,5,1
44,41,76.44,2,4,0
65,14,118.21,2,2,1
31,71,80.72,3,3,0
69,61,62.5,1,4,0
66,50,57.0,1,4,0
27,53,61.76,4,3,0
26,43,31.84,2,5,0
45,5,99.48,3,2,1
20,28,103.77,3,5,1
33,36,48.44,3,1,0
40,65,50.38,2,4,0
68,16,107.43,2,7,1
69,36,22.4,4,8,1
25,25,72.05,4,6,1
64,10,66.37,2,7,1
22,8,89.01,3,0,0
56,26,36.34,4,3,0
61,6,86.83,1,6,1
64,5,57.67,4,8,1
29,25,81.87,2,5,1
64,15,24.01,4,8,1
24,40,66.17,3,2,0
44,2,72.23,4,1,0
42,22,41.43,1,0,0
34,33,33.96,1,5,0
19,69,38.85,4,6,0
58,46,54.41,3,2,0
35,63,29.68,3,7,0
52,25,114.73,1,7,1
39,32,60.5,1,3,0
37,30,100.9,4,2,0
64,64,117.44,2,7,1
22,69,28.07,3,6,0
56,69,,2,1,0
56,54,107.14,2,2,0
37,36,83.42,1,4,1
31,39,62.9,4,5,0
18,70,63.11,4,1,0
66,21,23.59,1,9,1
67,25,73.46,2,3,0
30,64,119.35,3,3,1
19,28,115.87,2,0,1
24,17,24.04,3,8,1
21,40,90.58,2,2,0
61,24,50.18,1,9,1
64,64,110.3,2,4,1
25,65,24.51,3,8,0
56,22,113.59,1,1,0
27,38,103.75,4,1,1
37,70,31.75,1,8,0
49,53,,1,8,1
55,16,103.47,3,5,1
63,42,35.58,3,0,0
20,45,73.49,2,9,1
28,47,111.57,2,3,1
32,2,76.74,1,9,1
34,22,59.72,3,8,1
69,61,64.5,2,8,1
58,18,26.31,1,6,1
34,22,116.88,2,6,1
68,23,51.07,4,5,0
43,13,38.94,2,0,0
44,12,48.6,4,3,0
40,25,116.44,2,7,1
25,63,29.43,1,8,0
66,1,106.73,2,5,1
18,21,90.78,2,7,1
27,5,103.0,1,0,1
29,40,117.59,3,4,1
32,18,104.22,2,5,1
24,57,114.34,3,8,1
18,42,32.69,2,3,0
53,56,99.58,2,2,1
68,46,74.57,2,3,0
24,32,74.35,1,1,0
33,62,109.89,3,5,0
44,34,117.18,1,6,1
66,68,90.48,3,8,1
54,71,68.29,4,9,0
57,42,65.64,4,0,0
48,48,58.63,2,2,0
39,19,56.16,2,3,0
28,58,59.15,4,2,0
62,48,28.98,2,8,0
59,65,27.74,2,1,0
19,19,97.99,4,0,0
55,56,64.61,4,8,0
22,34,113.07,4,9,1
56,14,81.22,1,2,1
60,13,23.52,4,3,0
24,40,35.75,1,5,0
40,23,40.58,3,5,1
24,8,117.57,4,9,1
47,31,41.87,3,4,1
66,47,71.58,4,0,0
22,23,,2,4,0
38,68,117.72,2,5,1
68,56,43.64,2,5,0
33,37,24.91,2,5,0
24,67,35.36,3,9,1
43,31,26.33,2,8,1
44,10,39.51,3,2,0
52,3,76.86,2,3,1
34,67,111.24,2,6,1
67,69,73.72,1,4,0
45,53,82.6,3,4,0
32,8,40.19,4,1,0
67,21,100.06,4,2,1
66,3,81.78,2,7,1
43,4,,2,8,1
19,18,114.88,3,7,1
49,41,54.79,3,3,0
46,5,29.06,1,1,0
25,70,42.59,3,1,0
50,33,63.78,1,3,0
61,19,,1,5,0
23,37,57.83,3,8,1
55,57,97.08,1,8,1
25,23,74.05,2,0,0
56,4,,3,7,1
39,4,52.07,3,2,1
18,61,85.32,2,1,0
68,8,87.29,1,5,1
26,46,63.48,4,0,0
48,28,42.86,4,3,0
27,56,92.19,4,5,1
66,5,36.89,3,2,0
56,64,113.67,2,5,1
59,50,38.79,4,4,0
40,32,30.73,2,7,1
42,15,69.76,1,1,0
50,70,71.95,4,0,0
58,22,70.82,2,5,1
62,35,63.67,4,2,0
18,28,119.48,2,7,1
52,17,68.63,4,0,0
23,30,67.79,3,5,1
32,11,62.18,2,9,1
61,1,26.68,2,0,0
31,21,79.3,4,3,1
59,8,42.8,1,8,1
42,30,83.76,2,5,1
30,62,25.08,2,1,0
35,12,118.14,3,2,1
45,1,66.9,2,7,1
57,8,109.68,3,8,1
49,37,67.56,2,3,0
66,20,26.03,1,4,0
63,35,,1,7,1
57,3,84.82,3,1,1
49,24,98.18,2,2,0
33,30,62.82,2,7,1
39,31,83.79,3,1,0
24,40,105.62,2,7,1
37,56,83.11,2,4,0
66,34,54.77,1,9,1
40,60,86.25,2,0,0
23,38,87.19,3,9,1
51,19,116.06,3,2,1
68,17,,4,0,0
63,23,62.51,4,7,1
32,43,101.21,1,5,1
41,18,70.58,2,8,1
45,65,93.66,2,1,0
30,35,65.97,3,0,0
31,62,41.55,2,5,0
30,49,94.52,4,8,1
69,24,33.12,2,4,0
56,17,39.86,3,7,1
61,53,82.68,1,9,1
60,24,94.73,4,8,1
67,18,109.47,4,5,1
23,67,47.26,4,6,0
63,35,31.07,2,5,0
21,4,115.6,1,6,1
42,36,35.44,3,5,0
48,33,39.77,2,5,0
36,62,49.13,4,4,0
25,51,72.94,3,6,1
27,14,108.28,3,7,1
60,11,96.05,4,9,1
34,43,90.82,4,6,1
34,4,37.52,2,1,0
66,23,55.77,1,5,1
25,10,67.84,1,3,1
65,2,34.74,2,0,0
65,66,47.34,3,0,0
49,7,50.83,1,5,1
26,1,,1,9,1
26,67,75.02,3,5,0
32,14,90.5,4,4,1
48,58,26.99,1,0,0
25,3,68.11,3,6,1
41,11,98.22,1,0,1
24,8,94.8,3,8,1
46,51,101.51,4,8,1
19,45,64.82,4,9,1
54,34,102.06,3,2,0
20,18,44.08,3,1,0
28,7,56.08,4,2,1
27,41,37.64,3,7,0
61,17,66.75,2,2,0
20,42,59.21,4,8,1
40,49,44.09,3,1,0
48,61,95.18,4,0,0
44,36,51.38,3,2,0
53,1,47.28,4,7,1
59,20,33.09,1,6,0
38,61,63.88,1,3,0
61,38,50.3,1,6,0
34,44,56.93,3,6,1
69,33,43.6,3,5,0
44,12,96.32,1,5,1
56,64,113.0,1,1,0
63,55,69.79,4,2,0
59,71,84.3,4,5,0
62,61,106.72,3,1,0
45,21,119.88,2,4,1
20,19,81.35,2,1,0
43,18,108.98,1,7,1
27,66,110.86,1,1,0
64,40,99.15,4,0,0
30,33,66.09,2,6,1
29,69,28.12,3,2,0
30,43,21.58,3,3,0
51,65,67.72,2,3,0
47,70,69.43,1,2,0
67,6,60.74,3,7,1
39,26,76.82,1,6,1
32,53,75.22,2,2,0
20,58,103.66,4,6,1
18,11,30.87,3,7,1
37,23,42.52,4,5,0
66,39,99.3,1,5,1
45,57,104.78,1,9,1
64,9,119.48,2,4,1
23,43,107.29,2,3,0
22,22,108.99,1,5,1
61,16,51.43,4,8,1
23,37,60.17,1,7,1
20,30,46.81,3,0,0
39,46,80.63,3,4,1
66,23,113.88,3,7,1
53,59,54.46,1,2,0
23,6,75.7,2,9,1
61,62,49.63,3,8,1
61,3,36.98,2,8,1
59,53,39.52,3,0,0
64,25,25.79,1,5,0
30,28,114.93,1,5,1
68,2,60.29,3,6,1
34,50,103.41,3,8,1
59,12,88.13,1,3,1
48,47,39.19,4,5,0
58,52,37.55,1,6,0
50,61,101.2,4,7,1
51,51,46.47,3,7,0
50,22,111.33,4,3,1
58,53,34.01,4,9,1
56,59,87.77,2,0,0
24,23,101.45,4,4,1
60,9,43.53,1,6,1
45,64,,2,0,0
34,11,116.45,1,4,1
44,43,46.46,2,5,0
68,17,63.0,4,6,1
62,9,63.25,2,1,1
61,56,45.3,1,2,0
42,11,97.58,2,2,1
58,48,97.18,4,6,1
38,50,57.83,3,3,0
53,5,103.51,3,5,1
51,13,41.31,2,7,1
30,57,20.43,2,7,0
31,37,77.12,3,1,0
21,9,119.41,3,9,1
25,71,23.86,4,1,0
40,19,40.8,3,0,0
42,1,71.89,4,0,1
26,66,100.99,4,2,0
39,2,28.9,1,8,1
49,40,59.52,2,2,0
30,71,94.71,2,6,1
35,42,57.15,1,4,1
37,42,38.88,1,0,0
44,28,39.55,4,4,0
37,10,61.0,2,0,0
56,41,67.94,1,4,0
35,64,106.18,2,5,1
40,7,84.23,2,5,1
37,63,89.04,1,2,0
27,30,118.3,1,7,1
53,39,61.18,4,5,0
30,12,60.34,4,2,0
33,45,112.33,2,4,1
59,13,44.59,3,1,0
67,20,92.98,4,9,1
52,52,95.46,4,7,1
65,4,29.78,1,2,0
62,32,66.82,4,6,1
43,43,40.06,1,6,0
58,10,38.54,1,6,1
35,21,66.38,2,0,1
41,25,48.94,3,8,1
45,48,99.61,1,9,1
67,70,110.76,2,9,1
62,60,100.27,2,9,1
43,14,46.6,2,9,1
51,2,47.41,4,7,1
28,4,45.47,2,0,0
59,43,33.5,1,4,0
46,12,114.38,1,2,1
45,17,60.2,1,2,1
57,61,42.47,1,8,1
50,63,104.67,3,8,1
21,60,59.92,2,5,0
32,19,23.51,2,7,0
27,44,36.19,4,1,0
56,44,83.93,3,2,1
19,14,98.29,1,8,1
28,40,41.09,2,4,0
49,38,111.74,2,5,1
54,29,105.1,4,4,1
44,54,104.84,2,2,1
62,49,42.77,1,8,0
65,38,25.05,3,7,1
24,52,106.74,2,6,1
67,55,50.58,1,3,0
49,41,81.89,3,6,1
51,20,96.0,1,9,1
22,54,32.83,4,6,0
50,51,98.08,4,4,1
55,70,113.85,2,2,0
48,11,92.84,3,5,1
22,30,64.12,3,3,0
45,66,107.67,3,6,0
66,37,72.75,1,0,0
55,67,94.48,2,1,0
25,1,102.05,1,7,1
67,3,94.94,3,3,1
67,57,48.79,1,4,0
26,26,31.78,3,5,1
59,37,43.83,3,4,0
39,31,70.29,4,7,1
48,29,70.53,2,2,0
41,67,78.26,1,7,1
58,7,59.51,3,2,1
69,55,98.69,1,3,0
59,64,111.32,1,5,0
66,47,44.67,4,8,1
67,29,93.65,4,2,1
22,12,87.8,3,5,1
31,49,72.31,4,0,0
55,34,38.85,1,0,0
48,11,99.52,1,7,1
20,26,,2,7,1
22,69,92.18,1,3,0
45,19,111.79,4,6,1
50,13,118.42,1,3,1
26,49,55.21,3,2,0
26,15,83.82,4,4,1
24,66,67.39,3,3,0
47,61,118.66,1,8,1
18,70,29.38,2,4,0
47,65,61.24,3,3,0
42,18,107.55,4,5,1
42,16,48.41,2,7,1
53,25,98.78,2,2,1
45,34,58.28,4,9,1
55,63,118.0,4,4,1
57,53,108.35,2,6,1
65,46,50.13,1,9,1
59,63,97.02,3,4,0
44,46,53.69,4,1,0
43,27,80.64,4,7,1
30,30,85.85,2,0,0
49,37,102.96,1,4,1
25,7,22.45,3,9,1
66,53,42.02,4,4,0
61,47,91.19,4,6,1
24,52,76.35,1,5,1
58,38,69.56,2,2,0
24,56,25.52,2,3,0
55,68,54.83,1,5,0
22,41,106.51,4,1,0
43,32,23.09,1,4,0
52,8,59.64,3,4,1
55,56,114.51,4,8,1
39,65,25.09,3,1,0
65,50,94.97,4,8,1
58,62,45.76,2,4,0
28,62,106.66,4,6,1
52,57,94.61,2,5,1
55,36,108.57,1,2,1
35,8,41.59,2,9,1
56,1,73.13,2,2,0
64,15,97.93,3,0,1
60,31,44.57,2,7,0
57,53,43.07,2,6,0
50,33,22.72,2,8,1
32,2,115.85,2,4,1
59,15,91.0,3,0,0
36,70,83.56,2,0,0
45,71,94.4,4,4,0
34,27,73.16,2,2,0
34,58,67.61,4,9,1
26,52,64.95,2,1,0
67,67,84.04,1,8,1
25,64,40.15,1,2,0
22,45,108.81,4,1,0
66,29,101.18,4,2,1
46,45,54.96,1,1,0
40,23,77.86,3,4,1
56,25,34.1,3,3,0
37,44,117.23,1,5,1
24,41,110.29,2,5,1
55,42,112.19,3,0,1
27,28,53.22,4,1,0
46,30,36.91,4,1,0
67,1,41.18,1,1,1
66,43,29.0,1,0,0
36,41,32.01,2,3,0
58,67,27.13,1,5,0
49,36,118.98,3,3,1
42,34,27.41,1,3,0
25,5,33.25,1,4,0
37,14,102.73,1,5,1
51,25,78.02,2,3,1
69,27,97.44,4,2,1
18,26,83.09,1,4,0
55,28,108.22,4,0,0
62,55,83.85,2,4,0
67,10,72.21,1,9,1
40,24,91.27,2,3,1
24,12,64.74,3,1,0
32,22,54.61,1,7,1
62,49,66.77,1,1,0
63,4,36.97,4,1,0
51,25,99.66,3,1,1
24,2,46.07,2,8,1
24,68,35.35,4,9,0
42,52,44.64,4,5,1
48,18,104.21,2,6,1
19,15,53.02,3,6,1
53,8,88.6,1,6,1
46,34,105.64,2,5,1
18,54,27.77,3,9,1
22,42,96.5,1,7,1
41,63,50.77,4,0,0
55,25,,4,3,0
60,20,88.89,2,9,1
40,34,110.98,2,4,1
33,15,49.5,1,2,0
68,70,76.88,3,8,0
41,14,48.98,1,6,1
34,34,75.43,2,5,1
41,38,82.19,3,4,1
18,5,,3,1,0
33,34,82.35,3,3,0
44,33,33.51,1,4,0
65,19,89.35,4,9,1
56,10,,3,3,1
58,4,88.26,4,1,1
46,1,27.41,2,4,0
23,35,64.68,4,9,1
38,7,60.9,2,4,1
69,69,28.67,4,3,0
20,18,42.24,1,6,1
63,47,64.1,1,6,1
53,48,94.29,3,2,0
32,36,43.71,3,9,1
58,63,102.97,3,5,1
61,8,74.58,2,0,0
20,17,96.04,4,4,1
23,18,67.26,2,9,1
52,10,69.92,3,3,1
69,21,81.97,4,5,1
19,23,112.8,3,6,1
52,55,69.18,3,7,0
25,22,72.87,4,8,1
51,63,80.2,4,1,0
50,55,93.75,2,5,1
22,65,27.19,2,5,0
53,8,71.57,1,1,0
64,70,68.16,3,6,0
62,44,112.17,4,1,1
19,70,69.35,2,4,0
30,26,66.83,2,3,1
30,68,116.22,1,1,0
41,42,65.06,2,8,1
25,6,38.09,1,2,0
62,30,41.69,4,2,0
58,10,29.52,3,8,1
60,67,20.06,1,8,0
28,22,63.19,1,0,0
18,16,96.92,4,2,0
65,40,93.35,4,7,1
33,31,23.21,4,7,1
52,7,77.0,1,9,1
65,58,35.43,1,5,0
19,61,114.11,1,0,0
18,53,36.74,4,8,0
18,44,82.66,4,1,0
26,29,52.62,4,1,0
20,39,84.16,1,6,1
60,37,61.23,1,6,0
49,12,95.96,4,0,1
68,6,43.07,4,1,0
59,18,110.58,3,5,1
68,33,70.02,1,2,1
30,12,95.61,1,6,1
32,8,104.97,1,4,1
62,61,119.88,3,5,1
30,27,42.39,4,4,0
20,42,48.69,3,3,0
52,38,45.04,2,3,0
59,53,46.29,4,6,0
68,53,78.24,1,5,0
66,22,,4,5,1
24,61,119.03,4,5,1
58,27,72.68,3,2,1
61,60,83.9,4,9,1
54,29,106.0,3,5,1
60,8,113.29,2,7,1
61,54,40.39,2,8,0
41,3,72.85,4,9,1
20,55,103.28,3,6,1
41,4,50.32,1,7,1
28,15,63.98,4,4,0
23,43,118.56,1,7,1
24,67,118.5,3,3,1
54,30,110.61,1,7,1
44,9,99.84,3,0,1
46,17,,2,9,1
56,64,52.09,2,2,0
46,52,,3,6,0
50,8,76.08,4,0,0
22,28,70.55,2,1,0
62,19,83.67,4,9,1
41,13,60.83,2,8,1
26,61,94.92,1,2,0
60,44,53.35,1,1,0
56,13,53.07,1,8,1
20,47,32.72,3,9,0
28,30,38.87,3,1,0
18,5,105.05,2,6,1
32,32,64.63,2,2,1
23,14,42.79,4,7,1
54,18,95.93,3,4,1
45,63,75.4,1,1,0
68,51,22.12,1,3,0
56,10,51.64,2,5,1
49,61,37.7,2,7,0
44,41,85.59,4,0,0
20,63,47.5,3,9,1
21,54,26.49,4,6,0
50,25,25.49,3,8,1
18,38,78.17,2,9,1
20,38,22.17,3,1,0
29,52,104.88,3,0,0
63,18,35.54,3,7,1
41,24,80.66,1,1,1
54,18,64.47,3,1,0
39,22,64.29,2,4,1
27,12,27.18,4,9,1
37,3,100.28,4,7,1
22,67,109.31,3,5,0
58,6,21.1,4,1,0
27,64,37.86,3,3,0
37,1,110.39,1,6,1
68,56,74.95,3,1,0
48,24,35.0,4,5,0
41,37,40.28,1,0,0
46,21,86.0,1,3,1
58,35,92.48,2,2,1
31,33,79.94,4,6,1
51,38,115.31,3,9,1
63,28,69.41,4,1,0
47,39,50.03,4,7,0
41,59,67.72,3,6,0
25,31,55.97,3,9,1
30,26,42.44,2,9,1
67,10,24.6,1,1,0
46,26,55.22,2,7,1
33,9,91.14,3,5,1
39,13,21.84,1,1,0
48,68,63.92,1,2,0
45,7,84.4,1,9,1
54,35,81.04,3,5,1
31,60,97.66,4,3,1
51,68,101.05,4,3,0
41,11,91.17,2,8,1
66,12,30.28,3,2,0
26,27,67.5,4,1,0
25,40,80.34,3,5,1
42,69,44.56,2,9,1
44,15,24.26,2,1,0
53,12,42.36,3,2,1
39,18,65.49,2,4,0
65,63,61.39,4,1,0
42,3,37.67,4,6,1
24,27,102.44,1,2,1
24,9,112.57,3,1,1
68,12,40.13,2,2,0
24,66,112.96,3,9,1
67,1,21.79,2,9,1
32,23,112.5,2,5,1
22,65,115.19,2,4,0
33,44,21.21,1,8,1
49,6,96.3,4,1,1
40,34,117.02,1,6,1
58,69,110.59,2,6,1
49,29,117.07,1,7,1
38,38,75.03,1,2,1
51,38,27.82,2,7,0
68,47,104.98,4,6,1
39,14,81.38,4,8,1
25,60,81.47,2,1,0
39,71,61.73,3,6,0
61,11,77.18,4,8,1
29,59,35.36,1,2,0
67,59,93.98,4,7,1
48,53,27.5,1,0,0
49,27,92.98,1,7,1
34,34,104.9,2,6,1
65,60,67.25,1,1,0
19,11,70.98,4,0,0
33,59,51.22,4,7,0
39,66,116.95,2,2,0
42,49,93.31,4,4,0
42,25,56.9,4,0,0
25,40,37.48,4,9,1
29,4,41.96,4,5,1
22,67,66.39,3,9,1
47,25,114.26,1,1,0
36,5,93.41,4,2,1
47,57,41.52,3,6,1
48,47,105.96,4,6,1
54,45,57.82,4,7,0
46,4,105.17,1,9,1
51,54,44.17,2,8,0
48,46,81.87,1,1,0
51,57,112.67,1,3,0
50,59,45.79,4,9,1
34,16,89.29,4,5,1
30,15,118.73,4,8,1
58,66,35.06,4,5,0
35,38,28.84,3,0,0
46,32,87.42,3,4,1
28,21,53.97,4,8,1
40,46,27.12,3,6,0
45,54,67.53,3,1,0
50,1,,1,2,0
45,40,48.51,3,8,0
36,71,53.5,4,9,1
68,20,104.57,3,7,1
44,20,72.01,2,0,0
